,Abs. Location,Category,Color,Entry-Level,Identifier,Image Number,Other,Referring Expression,Rel. Location,Rel. Object,Size,Testset,prev_file,same,file,region,ref_a1,ref_a2,ref_a3,ref_h_a2,ref_h_a3,ref_h_nouns,ref_gentype
768,,cloud,,sky,537fba75d31907d16d000e34,3031_1.jpg,,sky,,,,B,30288_1.jpg,False,3031,1,top left,sky clouds top left,sky top left rock in middle,clouds or rock clouds top left,clouds or rock top left rock in middle,clouds:rock,a1
771,,sky-blue,,sky,53838948ffd5268914000476,30325_4.jpg,,sky above the skyscraper,prep_above,skyscraper,,B,3031_1.jpg,False,30325,4,top left,sky top left corner,lady in blue sky top left,lady or bldg top left corner,lady or bldg in blue sky top left,lady:bldg,a1
774,middle,man,,person,537fc3aad31907d16d0018f0,30357_3.jpg,,middle person,,,,B,30325_4.jpg,False,30357,3,in middle,man in middle person,man in middle person on left,strip or man in middle person,strip or man in middle person on left,strip:man,a1
777,left,person,,woman,537fc454d31907d16d0019c0,30476_4.jpg,,left woman,,,,B,30357_3.jpg,False,30476,4,bottom left,person on left corner,person in blue jacket on left,mans or way on left corner,mans or way in blue jacket on left,mans:way,a1
780,left,cloud,,sky,537fb326d31907d16d0005d1,30636_2.jpg,,sky on left,,,,B,30476_4.jpg,False,30636,2,top left,sky top left corner,sky upper left corner very top,sky or orange top left corner,sky or orange upper left corner very top,sky:orange,a1
783,,trees,,,53838ac3ffd5268914000678,30701_1.jpg,,center of the picture,,,,B,30636_2.jpg,False,30701,1,bottom right,palm tree on right,big palm tree trunk on right,trunk or bush tree on right,big trunk or bush tree trunk on right,trunk:bush,a1
786,right,ocean,,water,537fc319d31907d16d00183e,30761_9.jpg,,right side water,,,,B,30701_1.jpg,False,30761,9,far right,water on far right,water on far right side ocean,paper or doorway on far right,paper or doorway on far right side ocean,paper:doorway,a1
789,,fish,,group,53838a1effd526891400058b,30828_4.jpg,,group of fish top center of photo,,,,B,30761_9.jpg,False,30828,4,top left,sky clouds in middle,big tree in middle top left,screen or clouds clouds in middle,big screen or clouds in middle top left,screen:clouds,a1
792,,man,,man,537fba89d31907d16d000e4b,30916_6.jpg,,man by front tire sitting,prep_by,tire,,B,30828_4.jpg,False,30916,6,bottom right,person on bottom right,guy in white hat on right,animal or guys on bottom right,animal or guys in white hat on right,animal:guys,a1
795,,ground,,ground,537fbc38d31907d16d00106b,30919_1.jpg,,ground below woman,prep_below,woman,,B,30916_6.jpg,False,30919,1,very bottom,ground bottom right corner,sand bottom ground lower left corner,beach or shadow bottom right corner,beach or shadow bottom ground lower left corner,beach:shadow,a1
798,,man,,guy,53838aa5ffd5268914000652,30966_3.jpg,,guy,,,,B,30919_1.jpg,False,30966,3,on right,rock thing on right,woman in front guy on right,rock or lake thing on right,rock or lake in front guy on right,rock:lake,a1
801,,painting,,picture,537fc436d31907d16d00199a,30969_2.jpg,,picture,,,,B,30966_3.jpg,False,30969,2,in middle,people on left side,people in black on left side,bldg or spiders on left side,bldg or spiders in black on left side,bldg:spiders,a1
804,,herd-of-mammals,,cow,537fc4aad31907d16d001a29,3109_4.jpg,,cows,,,,B,30969_2.jpg,False,3109,4,in middle,people on left side,people on left side in middle,mountains or beach on left side,mountains or beach on left side in middle,mountains:beach,a2
807,,car,blue,car,537fba49d31907d16d000e00,31115_2.jpg,,blue car,,,,B,3109_4.jpg,False,31115,2,bottom right,car on bottom right,dark green area on bottom right,vehicle or car on bottom right,dark green vehicle or car on bottom right,vehicle:car,a2
810,,cloud,,sky,537fb362d31907d16d00061a,31172_1.jpg,,sky,,,,B,31115_2.jpg,False,31172,1,top left,sky top left corner,sky top anywhere on left corner,board or doorway top left corner,board or doorway top anywhere on left corner,board:doorway,a1
813,,sand-beach,,sand,537fbc20d31907d16d001049,31187_3.jpg,,sand bottom left,,,,B,31172_1.jpg,False,31187,3,bottom left,ground bottom left corner,ground bottom anywhere on left corner,sea or seal bottom left corner,sea or seal bottom anywhere on left corner,sea:seal,a1
816,,couple-of-persons,,person,537fd92fd31907d16d00237b,31276_6.jpg,,person holding a child on hip,,,,B,31187_3.jpg,False,31276,6,far right,person on far right,blue shirt guy on far right,dude or strip on far right,blue dude or strip guy on far right,dude:strip,a1
819,,man,,person,53839e48793954ad2d000389,3127_6.jpg,,person on front right horse,prep_on,horse,,B,31276_6.jpg,False,3127,6,on right,person on far right,guy in red shirt on right,boy or lady on far right,boy or lady in red shirt on right,boy:lady,a1
822,right,trees,,tree,537fb329d31907d16d0005d2,31555_3.jpg,,trees on right,,,,B,3127_6.jpg,False,31555,3,upper right,palm tree on right,palm tree in background on right,shrubs or steps tree on right,shrubs or steps tree in background on right,shrubs:steps,a1
825,,trees,,tree,538399dc793954ad2d000275,31608_2.jpg,,trees,,,,B,31555_3.jpg,False,31608,2,top left,trees on top left,green trees in background on left,trees or buildings on top left,green trees or buildings in background on left,trees:buildings,a1
828,,ball,,ball,537fbb6dd31907d16d000f72,31619_4.jpg,,ball,,,,B,31608_2.jpg,False,31619,4,in middle,girl in center face,girl in white hat on right,plate or stone in center face,plate or stone in white hat on right,plate:stone,a1
831,left,palm,,tree,537fc56ed31907d16d001b13,31691_2.jpg,,left tree,,,,B,31619_4.jpg,False,31691,2,on left,palm tree on left,big palm tree on far left,palm or tree tree on left,big palm or tree tree on far left,palm:tree,a1
834,bottom,floor-tennis-court,,court,537fc42fd31907d16d001991,31740_1.jpg,,bottom court,,,,B,31691_2.jpg,False,31740,1,bottom right,ground bottom right corner,dark green area bottom right corner,street or box bottom right corner,dark green street or box bottom right corner,street:box,a1
837,front,man,,player,537fdd94d31907d16d0025c7,31756_1.jpg,,player in front,,,,B,31740_1.jpg,False,31756,1,on right,anywhere on far right,girl in red bag on right,anywhere on far right,kid or bag in red bag on right,kid:bag,a1
840,,floor-tennis-court,,court,537fd8cdd31907d16d002356,31825_2.jpg,,court,,,,B,31756_1.jpg,False,31825,2,bottom right,brick wall on right,big dark green area on right,steps or street wall on right,big dark green steps or street on right,steps:street,a1
843,left,trunk,,branch,537fc3b4d31907d16d0018fa,3191_3.jpg,,branch lower left,,,,B,31825_2.jpg,False,3191,3,bottom left,tree on bottom left,tree trunk on bottom left corner,branch or steps on bottom left,branch or steps trunk on bottom left corner,branch:steps,a1
846,bottom,grass,,half,538388deffd52689140003fb,31979_1.jpg,,bottom half for field,,,,B,3191_3.jpg,False,31979,1,bottom right,grass bottom right corner,green grass area bottom right corner,land or grass bottom right corner,green land or grass area bottom right corner,land:grass,a1
849,,grass,,center,53839918793954ad2d00023f,32120_1.jpg,,center of field,,,,B,31979_1.jpg,False,32120,1,bottom right,grass bottom right corner,dark green grass bottom right corner,street or spiders bottom right corner,dark green street or spiders bottom right corner,street:spiders,a1
852,,sky,,sky,537fb21ed31907d16d0004dd,32140_1.jpg,,sky,,,,B,32120_1.jpg,False,32140,1,top right,sky top right corner,sky clouds top anywhere in middle,sky or spiders top right corner,sky or spiders clouds top anywhere in middle,sky:spiders,a1
855,,man,,surfer,537fdc66d31907d16d0024e7,3218_5.jpg,,surfer second to the left,,,,B,32140_1.jpg,False,3218,5,far right,guy in orange shirt,guy in black shirt on right,dude or shirt in orange shirt,dude or shirt in black shirt on right,dude:shirt,a1
858,top,sky,,sky,5383a14a793954ad2d0003e9,32198_3.jpg,,top sky,,,,B,3218_5.jpg,False,32198,3,very top,sky top left corner,sky clouds very top left corner,sky or cloud top left corner,sky or cloud clouds very top left corner,sky:cloud,a1
861,,tower,,left,537fdd8fd31907d16d0025c1,3220_9.jpg,,LEFT CHURCH TOWER,,,,B,32198_3.jpg,False,3220,9,in middle,water bottle in middle,water bottle in middle white building,fountain or stand bottle in middle,fountain or stand bottle in middle white building,fountain:stand,a1
864,,cloud,,sky,537fb13ed31907d16d000401,3221_4.jpg,,sky,,,,B,3220_9.jpg,False,3221,4,top right,sky top right corner,sky top right palm tree branch,bldg or clock top right corner,bldg or clock top right palm tree branch,bldg:clock,a1
867,,flag,red,flag,53838a31ffd52689140005aa,32251_1.jpg,yello,red yello flag,,,,B,3221_4.jpg,False,32251,1,top middle,person in middle flag,person in red shirt mans head,flag or mans in middle flag,flag or mans in red shirt mans head,flag:mans,a1
870,,head-of-person,,head,53839e84793954ad2d000398,32273_2.jpg,,large head left of center,,,,B,32251_1.jpg,False,32273,2,bottom left,bottom left in front,kid in front tire on left,bottom left in front,kid or animal in front tire on left,kid:animal,a2
873,top,building,,right,53838865ffd5268914000383,3234_3.jpg,,top right white building,,,,B,32273_2.jpg,False,3234,3,in middle,man in middle building,man in white building on right,windows or bldg in middle building,windows or bldg in white building on right,windows:bldg,a2
876,,vegetation,,tree,537fbbc4d31907d16d000fd3,32411_4.jpg,,trees,,,,B,3234_3.jpg,False,32411,4,top left,trees on left side,green grass on left side trees,hill or hut on left side,green hill or hut on left side trees,hill:hut,a2
879,,rock,,rock,53838a75ffd5268914000614,32431_2.jpg,,whatever on the rock,,,,B,32411_4.jpg,False,32431,2,bottom right,very bottom right corner,anywhere on very bottom right corner,very bottom right corner,anywhere on very bottom right corner,area:pic,a1
882,,rock,,rock,537fc531d31907d16d001ac8,32433_2.jpg,,rock,,,,B,32431_2.jpg,False,32433,2,bottom right,anywhere on right corner,brown area bottom anywhere on right,anywhere on right corner,brown river or animals bottom anywhere on right,river:animals,a1
885,bottom,grass,,corner,53838ae0ffd526891400069a,32439_1.jpg,,bottom right corner,,,,B,32433_2.jpg,False,32439,1,bottom right,grass bottom right side,grass area very bottom right side,grass or area bottom right side,grass or area area very bottom right side,grass:area,a1
888,,shore,,water,537fd96ad31907d16d002393,3275_3.jpg,,water or sand,,,,B,32439_1.jpg,False,3275,3,bottom right,water waves beach sand,water waves beach sand in front,river or sea waves beach sand,river or sea waves beach sand in front,river:sea,a1
891,,man,,woman,53838919ffd5268914000445,32840_2.jpg,,woman on the left w/the red purse,prep_on,purse,,B,3275_3.jpg,False,32840,2,far left,lamp post on left,lamp post on far left side,wood or frame post on left,wood or frame post on far left side,wood:frame,a1
894,,palm,,tree,537fbba4d31907d16d000faf,3319_3.jpg,,trees,,,,B,32840_2.jpg,False,3319,3,top right,palm tree on right,tall palm tree trunk on right,tree or palm tree on right,tall tree or palm tree trunk on right,tree:palm,a1
897,,house,yellow,house,537fb2f4d31907d16d00059c,3329_8.jpg,,yellow house,,,,B,3319_3.jpg,False,3329,8,far right,building on far right,white building on far right side,house or frame on far right,white house or frame on far right side,house:frame,a1
900,,ocean,,water,53838a07ffd5268914000569,3332_2.jpg,,water behind boats,prep_behind,boat,,B,3329_8.jpg,False,3332,2,in middle,water boat in middle,water boat in blue sky mountains,boat or ocean boat in middle,boat or ocean boat in blue sky mountains,boat:ocean,a3
903,left,vegetation,,corner,5383985a793954ad2d000211,3339_3.jpg,,left bottom corner,,,,B,3332_2.jpg,False,3339,3,bottom left,grass bottom left corner,trees on left corner grass bottom,plants or shrubs bottom left corner,plants or shrubs on left corner grass bottom,plants:shrubs,a1
906,right,rock,,statue,53838a02ffd5268914000562,3415_11.jpg,,small statue on far right,,,small,B,3339_3.jpg,False,3415,11,far right,building on far right,big building on far right side,way or building on far right,big way or building on far right side,way:building,a2
909,,building,white,building,537fc476d31907d16d0019ec,3460_4.jpg,,white building on right side,prep_on,side,,B,3415_11.jpg,False,3460,4,far right,building on far right,white building on far right side,windows or bldg on far right,white windows or bldg on far right side,windows:bldg,a1
912,,bird,,bird,537fdc98d31907d16d00250c,3495_1.jpg,,bird,,,,B,3460_4.jpg,False,3495,1,in front,animal in front bird,blue in front bird on left,bird or birds in front bird,blue in front bird or birds on left,bird:birds,a1
915,,ground,,dirt,537fba5ed31907d16d000e1c,35604_4.jpg,,dirt bottom left corner,,,,B,3495_1.jpg,False,35604,4,bottom right,ground bottom right corner,ground bottom anywhere on right corner,land or screen bottom right corner,land or screen bottom anywhere on right corner,land:screen,a2
918,bottom,street,,pavement,537fdd8bd31907d16d0025be,35621_2.jpg,,pavement very bottom,,,,B,35604_4.jpg,False,35621,2,bottom corner,ground bottom right corner,ground in front bottom right corner,snow or sidewalk bottom right corner,snow or sidewalk in front bottom right corner,snow:sidewalk,a1
921,top,sky-blue,,right,537fc54ad31907d16d001ae5,35640_2.jpg,,top right sky,,,,B,35621_2.jpg,False,35640,2,top right,sky top right corner,sky top right side upper corner,bridge or roof top right corner,bridge or roof top right side upper corner,bridge:roof,a1
924,left,wall,,building,537fb3cdd31907d16d00068a,35656_9.jpg,,left building,,,,B,35640_2.jpg,False,35656,9,top left,brick wall on left,brown brick wall on left corner,brick or pole wall on left,brown brick or pole wall on left corner,brick:pole,a2
927,,mountain,,mountain,53838a25ffd5268914000594,35722_6.jpg,,mountains,,,,B,35656_9.jpg,False,35722,6,in background,mountains in background hills,sky clouds in background hills mountains,mtn or strip in background hills,mtn or strip clouds in background hills mountains,mtn:strip,a2
930,,man,,man,537fba3fd31907d16d000df0,35743_6.jpg,,man red shirt,,,,B,35722_6.jpg,False,35743,6,on left,man in orange shirt,man in red shirt on left,orange or dude in orange shirt,orange or dude in red shirt on left,orange:dude,a1
933,left,vegetation,green,center,537fd8b2d31907d16d002348,3575_1.jpg,,green left center,,,,B,35743_6.jpg,False,3575,1,top right,trees on right corner,green trees on top right corner,pic or trees on right corner,green pic or trees on top right corner,pic:trees,a3
936,,sky,,sky,537fb25cd31907d16d000515,35838_4.jpg,,sky,,,,B,3575_1.jpg,False,35838,4,top left,sky top left corner,blue sky top left tall building,sky or ocean top left corner,blue sky or ocean top left tall building,sky:ocean,a2
939,,tree,,tree,53838a13ffd5268914000579,35888_3.jpg,,tree,,,,B,35838_4.jpg,False,35888,3,on left,tree on left side,big tree on far left side,bush or tree on left side,big bush or tree on far left side,bush:tree,a1
942,,trees,,tree,538389e4ffd5268914000539,36004_3.jpg,,trees on right/middle,prep_on,right/middle,,B,35888_3.jpg,False,36004,3,in middle,palm tree in middle,palm tree on right in middle,trees or palm tree in middle,trees or palm tree on right in middle,trees:palm,a1
945,,mountain,,mountain,537fd83bd31907d16d002312,3604_2.jpg,,mountain,,,,B,36004_3.jpg,False,3604,2,bottom right,mountain anywhere on right,big brown hills mountains in center,hill or mountain anywhere on right,big brown hill or mountain mountains in center,hill:mountain,a1
948,middle,tower,,building,537fb344d31907d16d0005f4,36072_4.jpg,,middle building,,,,B,3604_2.jpg,False,36072,4,in front,wood thing in front,lady in red thing on right,tower or post thing in front,tower or post in red thing on right,tower:post,a1
951,,car,,center,537fc460d31907d16d0019d2,37098_1.jpg,,center car,,,,B,36072_4.jpg,False,37098,1,top right,anywhere in middle car,big dark blue car in middle,anywhere in middle car or street,big dark blue car or street in middle,car:street,a2
954,right,sky-light,,sky,537fdc0cd31907d16d0024b5,37166_4.jpg,,sky upper right,,,,B,37098_1.jpg,False,37166,4,top right,sky top right corner,very top sky upper right corner,land or sky top right corner,very top land or sky upper right corner,land:sky,a2
957,top,sky-light,,sky,537fdb3fd31907d16d00244e,37220_4.jpg,,sky top,,,,B,37166_4.jpg,False,37220,4,top left,sky top left corner,sky upper left corner very top,land or pic top left corner,land or pic upper left corner very top,land:pic,a1
960,,sky,,sky,537fd834d31907d16d002310,37244_2.jpg,,sky,,,,B,37220_4.jpg,False,37244,2,top left,sky top left corner,big rock on top left corner,men or hill top left corner,big men or hill on top left corner,men:hill,a1
963,bottom,snow,,snow,537fc48ad31907d16d001a00,37249_2.jpg,,bottom snow,,,,B,37244_2.jpg,False,37249,2,very bottom,ground bottom left corner,ground in front bottom left corner,ice or ground bottom left corner,ice or ground in front bottom left corner,ice:ground,a1
966,bottom,floor,,floor,537fc59ed31907d16d001b4b,37307_1.jpg,,bottom right corner floor,,,,B,37249_2.jpg,False,37307,1,bottom left,ground bottom left corner,dark area on bottom left corner,board or paper bottom left corner,dark board or paper on bottom left corner,board:paper,a1
969,bottom,ice,,corner,53838835ffd526891400034d,37327_4.jpg,,click bottom right corner,,,,B,37307_1.jpg,False,37327,4,bottom right,ground bottom right corner,trees on bottom right in front,square or sea bottom right corner,square or sea on bottom right in front,square:sea,a1
972,left,trees,,tree,537fb260d31907d16d00051a,37366_6.jpg,,tree on the left,,,,B,37327_4.jpg,False,37366,6,far left,palm tree on left,palm tree trunk on far left,way or shadow tree on left,way or shadow tree trunk on far left,way:shadow,a1
975,,tree,,tree,537fb0afd31907d16d00036f,37427_2.jpg,,tree in the center of the pic,prep_in_center,pic,,B,37366_6.jpg,False,37427,2,top left,sky top middle tree,sky top left tree in middle,tree or sky top middle tree,tree or sky top left tree in middle,tree:sky,a2
978,middle,man,,person,537fb1fdd31907d16d0004bc,37468_2.jpg,,person in green shirt middle,,,,B,37427_2.jpg,False,37468,2,in front,guy in front left,red shirt guy in front left,kids or lady in front left,red kids or lady guy in front left,kids:lady,a1
981,,group-of-persons,,people,53838955ffd5268914000484,37471_1.jpg,,the people,,,,B,37468_2.jpg,False,37471,1,right corner,man on right corner,man in red jacket guys head,guys or kids on right corner,guys or kids in red jacket guys head,guys:kids,a1
984,right,man,,bro,5383a064793954ad2d0003d0,37496_4.jpg,,right bro,,,,B,37471_1.jpg,False,37496,4,on right,person on right side,person on right guy in front,bike or screen on right side,bike or screen on right guy in front,bike:screen,a1
987,bottom,vehicles-with-tires,,,537fc53dd31907d16d001ad6,37525_3.jpg,,bottom right,,,,B,37496_4.jpg,False,37525,3,bottom right,anywhere on right corner,girl in front on right corner,anywhere on right corner,lake or lady in front on right corner,lake:lady,a1
990,,sky,,sky,537fba41d31907d16d000df3,3756_1.jpg,,sky,,,,B,37525_3.jpg,False,3756,1,top left,sky top left corner,sky upper left corner very top,roof or frame top left corner,roof or frame upper left corner very top,roof:frame,a1
993,,grass,dark,grass,537fc308d31907d16d001828,37652_1.jpg,,dark green grass,,,,B,3756_1.jpg,False,37652,1,bottom right,grass bottom right corner,dark green grass bottom right corner,grass or shrub bottom right corner,dark green grass or shrub bottom right corner,grass:shrub,a2
996,,highway,,Road,537fb387d31907d16d000646,37719_1.jpg,,Road,,,,B,37652_1.jpg,False,37719,1,bottom left,road bottom left side,road in background on left side,street or road bottom left side,street or road in background on left side,street:road,a1
999,,highway,,street,537fdcd2d31907d16d002534,37734_5.jpg,,street,,,,B,37719_1.jpg,False,37734,5,bottom left,ground bottom left side,road bottom ground lower left side,road or fence bottom left side,road or fence bottom ground lower left side,road:fence,a1
1002,anywhere,highway,,bottom,537fb0e0d31907d16d0003a7,37797_1.jpg,,anywhere bottom,,,,B,37734_5.jpg,False,37797,1,bottom right,ground bottom right corner,ground bottom anywhere on right corner,steps or sidewalk bottom right corner,steps or sidewalk bottom anywhere on right corner,steps:sidewalk,a1
1005,,monument,,gravestone,53838a42ffd52689140005be,37846_3.jpg,pointy,pointy gravestone foreground,,,,B,37797_1.jpg,False,37846,3,bottom right,light post on right,light post tall building on right,pillar or statue post on right,pillar or statue post tall building on right,pillar:statue,a2
1008,,building,purple,building,53838ae5ffd52689140006a2,37890_4.jpg,,The purple building by the green building.,prep_by,building,,B,37846_3.jpg,False,37890,4,top right,building on right side,big building on top right side,balcony or bldg on right side,big balcony or bldg on top right side,balcony:bldg,a3
1011,,flag,,flag,537fbb60d31907d16d000f64,37925_1.jpg,,flag left,,,,B,37890_4.jpg,False,37925,1,in middle,guy in middle flag,guy in red thing on left,flag or roof in middle flag,flag or roof in red thing on left,flag:roof,a2
1014,,building,,murica,537fb439d31907d16d0006fe,37932_5.jpg,,murica,,,,B,37925_1.jpg,False,37932,5,on right,guy in middle flag,guy in middle flag on right,sign or balcony in middle flag,sign or balcony in middle flag on right,sign:balcony,a1
1017,,city,,building,537fc2cbd31907d16d0017e3,37990_2.jpg,,buildings,,,,B,37932_5.jpg,False,37990,2,in background,palm trees in background,sky in background trees on left,lights or tower trees in background,lights or tower in background trees on left,lights:tower,a1
1020,,cloud,,cloud,537fbc06d31907d16d001027,38019_1.jpg,,clouds,,,,B,37990_2.jpg,False,38019,1,top left,sky top left corner,clouds upper sky top left corner,clouds or ice top left corner,clouds or ice upper sky top left corner,clouds:ice,a1
1023,,ground,,area,537fdce7d31907d16d002542,38030_10.jpg,,area to right of bike dude near head,prep_near,head,,B,38019_1.jpg,False,38030,10,on left,person on left side,person on left side in middle,screen or road on left side,screen or road on left side in middle,screen:road,a3
1026,,sky-blue,,sky,537fbaa6d31907d16d000e70,38063_3.jpg,,sky,,,,B,38030_10.jpg,False,38063,3,top right,sky top right corner,sky top anywhere on right corner,sky or stand top right corner,sky or stand top anywhere on right corner,sky:stand,a1
1029,,sky-blue,,sky,537fc36dd31907d16d0018ac,38114_2.jpg,,sky,,,,B,38063_3.jpg,False,38114,2,top right,sky top right corner,blue sky top anywhere in middle,sky or sun top right corner,blue sky or sun top anywhere in middle,sky:sun,a1
1032,top,sky,,sky,537fdce4d31907d16d002540,38248_5.jpg,,top sky,,,,B,38114_2.jpg,False,38248,5,top left,sky top left corner,sky top left upper right corner,pic or sky top left corner,pic or sky top left upper right corner,pic:sky,a1
1035,,wood,,,537fd95bd31907d16d00238d,3847_2.jpg,,brown sorry,,,,B,38248_5.jpg,False,3847,2,top middle,tree trunk in middle,large rock big tree in middle,rocks or bush trunk in middle,large rocks or bush big tree in middle,rocks:bush,a1
1038,left,vegetation,,branch,537fddbed31907d16d0025e9,3862_2.jpg,,inbetween the two branches on the left,,,,B,3847_2.jpg,False,3862,2,bottom left,grass bottom left corner,dark green grass bottom left corner,branch or leaf bottom left corner,dark green branch or leaf bottom left corner,branch:leaf,a1
1041,middle,pagoda,,building,537fc314d31907d16d001837,38774_1.jpg,,bldg in middle,,,,B,3862_2.jpg,False,38774,1,in middle,building thing in middle,red thing in middle white building,church or sign thing in middle,red thing in middle white church or sign,church:sign,a1
1044,,bush,green,brush,537fb344d31907d16d0005f5,39029_3.jpg,,green brush,,,,B,38774_1.jpg,False,39029,3,bottom right,grass bottom right corner,green grass on bottom right corner,shrubs or plants bottom right corner,green shrubs or plants on bottom right corner,shrubs:plants,a1
1047,,rock,,top,537fdd33d31907d16d002577,39053_3.jpg,,top of mountain,,,,B,39029_3.jpg,False,39053,3,top right,sky clouds on right,sky clouds mountain on right side,mountain or sand clouds on right,mountain or sand clouds mountain on right side,mountain:sand,a1
1050,front,car,grey,car,537fc2e2d31907d16d0017fb,3918_5.jpg,,grey car in front,,,,B,39053_3.jpg,False,3918,5,bottom left,sand bottom left corner,sand bottom anywhere on left corner,car or van bottom left corner,car or van bottom anywhere on left corner,car:van,a1
1053,anywhere,vegetation,,grass,53839cf3793954ad2d000330,39219_3.jpg,,grass anywhere,,,,B,3918_5.jpg,False,39219,3,very bottom,very bottom left side,green grass bottom anywhere in middle,very bottom left bush or spiders,green bush or spiders bottom anywhere in middle,bush:spiders,a1
1056,,sand-dessert,,ground,53838832ffd5268914000348,39309_1.jpg,,ground,,,,B,39219_3.jpg,False,39309,1,bottom right,ground bottom right corner,ground people on bottom right corner,sand or bricks bottom right corner,sand or bricks people on bottom right corner,sand:bricks,a1
1059,,river,,lake,537fba42d31907d16d000df5,39405_1.jpg,,lake,,,,B,39309_1.jpg,False,39405,1,bottom left,water on bottom left,water in green plants on left,stone or water on bottom left,stone or water in green plants on left,stone:water,a1
1062,,grass,,field,537fc494d31907d16d001a0d,39437_1.jpg,,any part of field,,,,B,39405_1.jpg,False,39437,1,bottom right,grass on bottom right,green grass bottom anywhere on right,grass or can on bottom right,green grass or can bottom anywhere on right,grass:can,a1
1065,,koala,,koala,537fb9fed31907d16d000d97,39503_1.jpg,,koala,,,,B,39437_1.jpg,False,39503,1,in middle,brick wall in middle,yellow shirt guy in middle tree,branch or bird wall in middle,yellow branch or bird guy in middle tree,branch:bird,a1
1068,,pigeon,white,bird,537fc354d31907d16d00188d,39520_1.jpg,,white bird,,,,B,39503_1.jpg,False,39520,1,on left,animal dude on left,rocks on left dude in front,birds or bird dude on left,birds or bird on left dude in front,birds:bird,a1
1071,,sand-beach,,sand,537fc542d31907d16d001adc,39550_1.jpg,,sand,,,,B,39520_1.jpg,False,39550,1,very bottom,ground very bottom left,sidewalk very bottom ground in front,beach or sea very bottom left,beach or sea very bottom ground in front,beach:sea,a1
1074,,person,,guy,537fdb3dd31907d16d00244c,39564_2.jpg,,guy,,,,B,39550_1.jpg,False,39564,2,in middle,woman in middle person,woman in middle person on right,chick or bag in middle person,chick or bag in middle person on right,chick:bag,a1
1077,,semaphore,,light,5383a071793954ad2d0003d2,39602_3.jpg,,stop light,,,,B,39564_2.jpg,False,39602,3,on right,window on far right,yellow building on far right side,book or books on far right,yellow book or books on far right side,book:books,a1
1080,,lighthouse,,llighthouse,537fb3dad31907d16d000694,39623_1.jpg,,llighthouse,,,,B,39602_3.jpg,False,39623,1,top left,lamp post on left,brown thing on far left side,stand or umbrella post on left,brown thing on far left stand or umbrella,stand:umbrella,a1
1083,,rock,,rock,537fb318d31907d16d0005c1,39736_2.jpg,,closr big rock left,,,,B,39623_1.jpg,False,39736,2,on left,rock on left side,big rock thing on left side,hill or mtn on left side,big hill or mtn thing on left side,hill:mtn,a1
1086,,rock,,rock,538389d2ffd5268914000523,39776_3.jpg,,rocks to the right,,,,B,39736_2.jpg,False,39776,3,bottom right,rocks on bottom right,rocks on right lady in front,rocks or stone on bottom right,rocks or stone on right lady in front,rocks:stone,a1
1089,,sky-blue,,sky,537fb318d31907d16d0005c0,39800_1.jpg,,sky,,,,B,39776_3.jpg,False,39800,1,top right,sky clouds in middle,clouds in blue sky top right,sky or clouds clouds in middle,sky or clouds in blue sky top right,sky:clouds,a1
1092,,kangaroo,,kangaroo,537fc350d31907d16d001885,39851_2.jpg,,a kangaroo,,,,B,39800_1.jpg,False,39851,2,top center,wood thing in center,brown horse statue thing in black,animal or dog thing in center,brown animal or dog statue thing in black,animal:dog,a1
1095,,sky-blue,,sky,53838a83ffd5268914000628,39872_3.jpg,,sky,,,,B,39851_2.jpg,False,39872,3,top left,sky top left corner,sky in orange top left corner,sky or orange top left corner,sky or orange in orange top left corner,sky:orange,a1
1098,front,grass,,grass,537fb189d31907d16d00044e,40140_5.jpg,,grass in front on the right,,,,B,39872_3.jpg,False,40140,5,on right,grass area on right,grass area on right in middle,fence or brick area on right,fence or brick area on right in middle,fence:brick,a1
1101,,fowl-hen,,bird,53838a65ffd52689140005fc,40176_1.jpg,,bird,,,,B,40140_5.jpg,False,40176,1,in middle,palm tree in middle,palm tree on right in middle,bird or animal tree in middle,bird or animal tree on right in middle,bird:animal,a1
1104,,building,,building,53839d80793954ad2d000359,40239_3.jpg,,biggest building,,,,B,40176_1.jpg,False,40239,3,top left,building in upper left,yellow building on left in middle,lights or building in upper left,yellow lights or building on left in middle,lights:building,a2
1107,,building,,building,537fb3a8d31907d16d000665,40332_3.jpg,,hightest building middle,,,,B,40239_3.jpg,False,40332,3,in middle,center building in middle,tall building in middle dark blue,center curtains or house in middle,tall curtains or house in middle dark blue,curtains:house,a1
1110,,city,,building,5383a14d793954ad2d0003ea,40344_2.jpg,,building left,,,,B,40332_3.jpg,False,40344,2,on left,brick building on left,tall building on left in middle,buildings or clock building on left,tall buildings or clock on left in middle,buildings:clock,a1
1113,,sky-light,,sky,53839ccd793954ad2d000326,40448_2.jpg,,sky,,,,B,40344_2.jpg,False,40448,2,top right,sky clouds top right,blue sky clouds top right corner,clock or clouds clouds top right,blue clock or clouds clouds top right corner,clock:clouds,a1
1116,,building,,right,537fb0f4d31907d16d0003c2,40460_2.jpg,,building to right of tallest one,,,,B,40448_2.jpg,False,40460,2,on right,palm tree on right,palm tree on right in middle,gate or building tree on right,gate or building tree on right in middle,gate:building,a1
1119,,palm,,center,537fb24ad31907d16d000503,40480_3.jpg,,center palm tree,,,,B,40460_2.jpg,False,40480,3,in middle,palm tree on left,big palm tree trunk on left,palm or fish tree on left,big palm or fish tree trunk on left,palm:fish,a3
